Municipios (con más de 50.000 habitantes) y capitales de provincia;Tipo de vivienda (principal o no);Año de construcción del edificio;Total
04013 Almería;Vivienda principal;De 1951 a 1960;2.968
04013 Almería;Vivienda principal;De 1961 a 1970;12.963
04013 Almería;Vivienda principal;De 1971 a 1980;15.290
04013 Almería;Vivienda principal;De 1981 a 1990;9.961
04013 Almería;Vivienda principal;De 1991 a 2000;10.840
04013 Almería;Vivienda principal;De 2001 a 2010;16.784
04013 Almería;Vivienda principal;De 2011 a 2020;1.787
04013 Almería;Vivienda principal;No consta;1.581
04013 Almería;Vivienda no principal;Total;24.977
04013 Almería;Vivienda no principal;Antes de 1900;28
04013 Almería;Vivienda no principal;De 1900 a 1920;373
04013 Almería;Vivienda no principal;De 1921 a 1940;1.244
04013 Almería;Vivienda no principal;De 1941 a 1950;442
04013 Almería;Vivienda no principal;De 1951 a 1960;1.116
04013 Almería;Vivienda no principal;De 1961 a 1970;4.098
04013 Almería;Vivienda no principal;De 1971 a 1980;4.242
04013 Almería;Vivienda no principal;De 1981 a 1990;2.708
04013 Almería;Vivienda no principal;De 1991 a 2000;3.107
04013 Almería;Vivienda no principal;De 2001 a 2010;5.569
04013 Almería;Vivienda no principal;De 2011 a 2020;726
04013 Almería;Vivienda no principal;No consta;1.324
04079 Roquetas de Mar;Total;Total;62.150
04079 Roquetas de Mar;Total;Antes de 1900;0
04079 Roquetas de Mar;Total;De 1900 a 1920;0
04079 Roquetas de Mar;Total;De 1921 a 1940;4
04079 Roquetas de Mar;Total;De 1941 a 1950;12
04079 Roquetas de Mar;Total;De 1951 a 1960;173
04079 Roquetas de Mar;Total;De 1961 a 1970;1.627
04079 Roquetas de Mar;Total;De 1971 a 1980;5.519
04079 Roquetas de Mar;Total;De 1981 a 1990;10.208
04079 Roquetas de Mar;Total;De 1991 a 2000;8.948
04079 Roquetas de Mar;Total;De 2001 a 2010;33.819
04079 Roquetas de Mar;Total;De 2011 a 2020;857
